epoch,trn_total,trn_hit,trn_logq,trn_time,trn_kl,val_total,val_hit,val_logq,val_time,val_kl,lr
1,0.2450392581373453,0.21893200045824052,0.009015667375177144,0.01695554660493508,1.3604370425567032,0.18651066064834596,0.18091427594423293,0.0034748212806880474,0.0019180432986468077,2.0351940631866454,0.0003
2,0.17965077348053454,0.17533388917148113,0.0026106768681202082,0.0014615810230607167,2.4462643027305604,0.17202013462781907,0.16848749935626983,0.0021710377093404534,0.0010807502327952535,2.8084565925598146,0.0003
3,0.17105921997129916,0.16726156851649285,0.002301753037958406,0.0012050317057291978,2.908668329715729,0.16308192729949952,0.15878623753786086,0.0021985298674553635,0.0017816230072639882,3.155371618270874,0.0003
4,0.15957721070945263,0.15568719600141048,0.0023611647352809084,0.001198995937826112,3.2985406980514527,0.1447328421473503,0.14104907900094987,0.0022583694849163294,0.0010795919795054943,3.4580244636535644,0.0003
5,0.14517526207864284,0.1412778557240963,0.0023466469127452,0.0012000387595035135,3.507212162733078,0.13158102706074715,0.12781815662980078,0.0022214070335030557,0.0011852912104222924,3.561734538078308,0.0003
6,0.13086193059384824,0.1270001072511077,0.0023215470463037492,0.0011843469925806858,3.559291238307953,0.11426988109946251,0.11038763031363487,0.002208351972512901,0.0013149341789539903,3.5896424770355226,0.0003
7,0.1155635913386941,0.11167628861963749,0.0023263776558451353,0.001202383215248119,3.5854174704551696,0.09820528507232666,0.09448622271418572,0.002255524368956685,0.0011035260267090053,3.6001210021972656,0.0003
8,0.10091132812947035,0.09708393622934819,0.002286580599262379,0.0011812544978456571,3.595567571401596,0.08339869931340217,0.07973344027996063,0.0021688172034919264,0.0011353055876679719,3.611364541053772,0.0003
9,0.09111709622293711,0.08719335504621267,0.0022747447831789032,0.001289689018507488,3.5930725417137146,0.07383783176541328,0.0701025052368641,0.002190255541354418,0.0011869712581392378,3.580999493598938,0.0003
10,0.08346593885123729,0.07969101702421903,0.00225602616078686,0.0011605822122073733,3.583135880947113,0.06670542396605014,0.06318597324192524,0.002155722910538316,0.001005934050772339,3.5779359579086303,0.0003
11,0.07792346522584558,0.0740731305256486,0.0022414400016423316,0.0012528688018792308,3.5602584998607636,0.06137633875012398,0.057694054767489435,0.0021165234642103316,0.0012132092332467438,3.5255068159103393,0.0003
12,0.07224168227240443,0.06850770166143776,0.002229813916608691,0.0011530178490211256,3.511487553834915,0.05527390524744988,0.05158906631171703,0.0021710540447384117,0.0011647148884367199,3.490697922706604,0.0003
13,0.0661615442968905,0.062327161859720946,0.002230745236738585,0.0012556857559247873,3.479513803720474,0.04751817062497139,0.04397412247955799,0.002126709958538413,0.0010714787687174975,3.4585942316055296,0.0003
14,0.060479051709175106,0.05676450232416391,0.002224684741930105,0.001143752110132482,3.461125964164734,0.04213380046188831,0.03866186648607254,0.0021257415832951665,0.0010014683252666146,3.4472398853302,0.0003
15,0.055411700289696456,0.05168776242434978,0.002217686935211532,0.001160958461172413,3.452924663543701,0.03774422027170658,0.034281268641352655,0.0021101520443335174,0.0010068268550094217,3.4597280979156495,0.0003
16,0.05035844049230218,0.04665625698119402,0.0022111046209465713,0.0011456481361528858,3.454308096408844,0.030311491675674915,0.02686729107052088,0.0020902892667800186,0.001008069821400568,3.4584153509140014,0.0003
17,0.04537248155474663,0.04165149172954261,0.0022058887546882035,0.0011692875367007218,3.4581356728076935,0.026573719158768654,0.023051590360701084,0.0021689046500250695,0.0010072219267021865,3.4600227069854737,0.0003
18,0.040683401236310604,0.036982358714565636,0.0022062565790256484,0.0011485012399498372,3.462847328424454,0.02113470621407032,0.017579458076506852,0.0021246397867798806,0.0010833529150113463,3.4725544548034666,0.0003
19,0.03672769313678145,0.033035831600427626,0.0022060126413125545,0.001139224250393454,3.4662463357448576,0.01800270803272724,0.014505233764648438,0.0021956369234248994,0.0009553902223706245,3.4644715452194212,0.0003
20,0.03340682615712285,0.029587299501523376,0.0021895715943537654,0.0012834021660382859,3.4655292432308196,0.015831372663378716,0.012194446381181478,0.002085133898071945,0.0012055667757522315,3.462256088256836,0.0003
